,0
0,2.2033908
1,2.1858745
2,2.0096676
3,1.8742187
4,1.9932002
5,1.8807721
6,1.9810816
7,1.9947696
8,2.0328095
9,2.006147
10,3.1121833
11,2.8685231
12,1.9796332
13,1.3446764
14,2.114612
15,1.4088434
16,2.575286
17,1.6108391
18,1.255036
19,3.0530868
20,2.7334156
21,3.0717292
22,2.8137207
23,3.0094972
24,2.6688228
25,3.0288343
26,2.7527351
27,1.861487
28,1.2927562
29,2.0010552
30,1.3442587
31,1.743182
32,1.2682446
33,1.8854386
34,1.2928357
35,1.3509899
36,1.4689285
37,1.3626636
38,1.4763229
39,1.5584657
40,1.5648869
41,1.340217
42,1.4506831
43,1.3479459
44,1.4624023
45,1.3582256
46,1.4680166
47,1.3469906
48,1.4551777
49,1.3551106
50,1.4603273
51,1.545353
52,1.5528165
53,1.2606226
54,1.3315839
55,1.9521219
56,1.2398443
57,1.2260822
58,1.2413661
59,2.9412827
60,2.4957535
61,2.2671692
62,2.8924575
63,2.4156158
64,1.5093837
65,1.2525028
66,1.3324403
67,1.2450337
68,1.4233092
69,1.2521601
70,2.965453
71,2.5992665
72,2.9867504
73,2.6875513
74,2.9178014
75,2.5244172
76,2.942512
77,2.6217287
78,1.6337507
79,1.2588408
80,1.7731373
81,1.2705909
82,1.5359209
83,1.259192
84,1.6680261
85,1.2646514
86,2.1794784
87,2.3297656
88,2.0953248
89,2.2436109
90,1.2820977
91,1.2449304
92,1.3490217
93,1.2509325
94,1.2546053
95,1.2456204
96,1.2934089
97,1.2506078
98,2.8690476
99,2.4492307
100,2.8945527
101,2.5488992
102,2.820352
103,2.3803282
104,2.8443377
105,2.4811294
106,1.4494238
107,1.2585388
108,1.5699584
109,1.2663275
110,1.372876
111,1.2569884
112,1.4794067
113,1.2649539
114,1.1943849
115,1.2501988
116,1.8771665
117,1.8011222
118,1.1967478
119,1.24338
120,1.2098526
121,1.2444209
122,1.2016397
123,1.2497582
124,1.2096121
125,1.2502974
126,1.256366
127,1.1967845
128,1.2573113
129,1.1966357
130,1.2625196
131,1.19996
132,1.2637271
133,1.7304484
134,1.202333
135,1.2571287
136,1.2146893
137,1.2566354
138,1.2043897
139,1.2647108
140,1.2137654
141,1.2643012
142,2.0159876
143,2.1597362
144,1.9376203
145,2.0789652
146,1.2375786
147,1.2469045
148,1.268303
149,1.2508783
150,1.2233493
151,1.251483
152,1.2510399
153,1.2536628
154,2.7673326
155,2.3081853
156,2.7937593
157,2.4151742
158,2.2254052
159,2.7380764
160,2.3475335
161,1.313989
162,1.2558032
163,1.4015908
164,1.2629168
165,1.2862954
166,1.2563224
167,1.3468254
168,1.2613951
169,1.8617647
170,1.9993064
171,1.7889296
172,1.9190835
173,1.2261568
174,1.2570432
175,1.241991
176,1.2586725
177,1.2316481
178,1.2638979
179,1.2505832
180,1.2642026
181,2.1404147
182,2.2743464
183,2.0561006
184,2.190901
185,1.2691362
186,1.2608713
187,1.3143802
188,1.2632095
189,1.2696371
190,1.2661698
191,1.2953362
192,1.2687367
193,1.3301764
194,1.4174559
195,1.4063165
196,1.3293791
197,1.4093897
198,1.3342657
199,1.4377173
200,1.3395065
201,1.4426728
202,1.3343962
203,1.4300982
204,1.3396275
205,1.4340732
206,1.3461308
207,1.4473183
208,1.3536367
209,1.451932
210,1.3448228
211,1.4390782
212,1.3521589
213,1.4441923
214,1.3349792
215,1.4215325
216,1.3397353
