X,Y,Z
243411.841,1717604.588,392.872
243411.841,1717607.088,392.872
243411.841,1717604.588,395.372
243411.841,1717604.588,397.872
243411.841,1717607.088,395.372
243411.841,1717607.088,397.872
243411.841,1717604.588,400.372
243411.841,1717607.088,400.372
243411.841,1717607.088,402.872
243411.841,1717607.088,405.372
243426.841,1717567.088,385.372
243426.841,1717567.088,387.872
243426.841,1717564.588,390.372
243426.841,1717564.588,392.872
243426.841,1717567.088,390.372
243426.841,1717567.088,392.872
243431.841,1717562.088,387.872
243431.841,1717562.088,390.372
243431.841,1717562.088,392.872
243429.341,1717564.588,385.372
243429.341,1717564.588,387.872
243429.341,1717567.088,385.372
243429.341,1717567.088,387.872
243431.841,1717564.588,385.372
243431.841,1717564.588,387.872
243431.841,1717567.088,385.372
243431.841,1717567.088,387.872
243429.341,1717564.588,390.372
243429.341,1717564.588,392.872
243429.341,1717567.088,390.372
243429.341,1717567.088,392.872
243431.841,1717564.588,390.372
243431.841,1717564.588,392.872
243431.841,1717567.088,390.372
243431.841,1717567.088,392.872
243426.841,1717564.588,395.372
243426.841,1717564.588,397.872
243426.841,1717567.088,395.372
243426.841,1717567.088,397.872
243426.841,1717564.588,400.372
243426.841,1717567.088,400.372
243431.841,1717562.088,395.372
243431.841,1717562.088,397.872
243429.341,1717564.588,395.372
243429.341,1717564.588,397.872
243429.341,1717567.088,395.372
243429.341,1717567.088,397.872
243431.841,1717564.588,395.372
243431.841,1717564.588,397.872
243431.841,1717567.088,395.372
243431.841,1717567.088,397.872
243429.341,1717564.588,400.372
243429.341,1717567.088,400.372
243451.841,1717547.088,392.872
243451.841,1717547.088,395.372
243441.841,1717557.088,387.872
243439.341,1717557.088,392.872
243441.841,1717557.088,390.372
243441.841,1717557.088,392.872
243434.341,1717562.088,385.372
243434.341,1717562.088,387.872
243436.841,1717559.588,387.872
243436.841,1717562.088,385.372
243436.841,1717562.088,387.872
243434.341,1717562.088,390.372
243434.341,1717562.088,392.872
243436.841,1717559.588,390.372
243436.841,1717559.588,392.872
243436.841,1717562.088,390.372
243436.841,1717562.088,392.872
243434.341,1717564.588,385.372
243434.341,1717564.588,387.872
243434.341,1717567.088,385.372
243434.341,1717567.088,387.872
243436.841,1717564.588,385.372
243436.841,1717564.588,387.872
243436.841,1717567.088,385.372
243436.841,1717567.088,387.872
243434.341,1717564.588,390.372
243434.341,1717564.588,392.872
243434.341,1717567.088,390.372
243434.341,1717567.088,392.872
243436.841,1717564.588,390.372
243436.841,1717564.588,392.872
243436.841,1717567.088,390.372
243436.841,1717567.088,392.872
243439.341,1717559.588,387.872
243439.341,1717562.088,387.872
243441.841,1717559.588,387.872
243441.841,1717562.088,387.872
243439.341,1717559.588,390.372
243439.341,1717559.588,392.872
243439.341,1717562.088,390.372
243439.341,1717562.088,392.872
243441.841,1717559.588,390.372
243441.841,1717559.588,392.872
243441.841,1717562.088,390.372
243441.841,1717562.088,392.872
243439.341,1717564.588,385.372
243439.341,1717564.588,387.872
243439.341,1717567.088,385.372
243439.341,1717567.088,387.872
243441.841,1717564.588,385.372
243441.841,1717564.588,387.872
243441.841,1717567.088,385.372
243441.841,1717567.088,387.872
243439.341,1717564.588,390.372
243439.341,1717564.588,392.872
243439.341,1717567.088,390.372
243439.341,1717567.088,392.872
243441.841,1717564.588,390.372
243441.841,1717564.588,392.872
243441.841,1717567.088,390.372
243441.841,1717567.088,392.872
243446.841,1717552.088,390.372
243446.841,1717552.088,392.872
243444.341,1717557.088,387.872
243446.841,1717557.088,387.872
243444.341,1717554.588,390.372
243444.341,1717554.588,392.872
243444.341,1717557.088,390.372
243444.341,1717557.088,392.872
243446.841,1717554.588,390.372
243446.841,1717554.588,392.872
243446.841,1717557.088,390.372
243446.841,1717557.088,392.872
243449.341,1717549.588,392.872
243449.341,1717552.088,390.372
243449.341,1717552.088,392.872
243451.841,1717549.588,390.372
243451.841,1717549.588,392.872
243451.841,1717552.088,390.372
243451.841,1717552.088,392.872
243449.341,1717557.088,387.872
243449.341,1717554.588,390.372
243449.341,1717554.588,392.872
243449.341,1717557.088,390.372
243449.341,1717557.088,392.872
243451.841,1717554.588,390.372
243451.841,1717554.588,392.872
243451.841,1717557.088,390.372
243451.841,1717557.088,392.872
243444.341,1717559.588,387.872
243444.341,1717562.088,387.872
243446.841,1717559.588,387.872
243446.841,1717562.088,387.872
243444.341,1717559.588,390.372
243444.341,1717559.588,392.872
243444.341,1717562.088,390.372
243444.341,1717562.088,392.872
243446.841,1717559.588,390.372
243446.841,1717559.588,392.872
243446.841,1717562.088,390.372
243446.841,1717562.088,392.872
