,0
0,2.38683
1,2.3774645
2,2.2066553
3,1.7915627
4,2.2276227
5,1.8233453
6,2.0491939
7,2.0330846
8,2.1431808
9,2.1180682
10,3.343547
11,3.232922
12,2.2356894
13,1.3221765
14,2.3574398
15,1.3715596
16,3.0928178
17,1.7297096
18,1.2905526
19,3.453836
20,3.2222269
21,3.3869658
22,3.2403438
23,3.489265
24,3.1768472
25,3.431186
26,3.2170475
27,2.1127214
28,1.310223
29,2.2540164
30,1.334841
31,1.9370579
32,1.3091568
33,2.1355996
34,1.3286985
35,1.6088142
36,1.5587194
37,1.6342685
38,1.5895374
39,1.4987224
40,1.526646
41,1.5493093
42,1.4822308
43,1.5993103
44,1.533919
45,1.6289098
46,1.561269
47,1.5807654
48,1.510031
49,1.6147695
50,1.5362811
51,1.4762061
52,1.5001034
53,1.4002961
54,1.3838493
55,2.1342869
56,1.3299549
57,1.2239999
58,1.3522677
59,3.4977903
60,2.975052
61,2.685118
62,3.4218044
63,2.8410606
64,1.5522759
65,1.3030413
66,1.2859492
67,1.3102049
68,1.3994936
69,1.3144147
70,3.4977467
71,3.099475
72,3.4660609
73,3.1769505
74,3.4630916
75,2.988014
76,3.4721973
77,3.1046557
78,1.7556119
79,1.3155171
80,1.9721745
81,1.3337216
82,1.5727072
83,1.3270512
84,1.7822237
85,1.3406298
86,2.5372462
87,2.7047224
88,2.3569875
89,2.5571845
90,1.2565473
91,1.325604
92,1.2998953
93,1.3303235
94,1.2443346
95,1.3468949
96,1.2725414
97,1.3457538
98,3.3836272
99,2.8548303
100,3.424428
101,3.0016215
102,3.2997615
103,2.721052
104,3.3438835
105,2.868326
106,1.4187421
107,1.3385674
108,1.5959694
109,1.3500781
110,1.3204875
111,1.3536336
112,1.4399481
113,1.3681773
114,1.2123425
115,1.3968617
116,1.9648438
117,1.8064228
118,1.2235594
119,1.382697
120,1.2321118
121,1.3787951
122,1.2320995
123,1.394476
124,1.2462578
125,1.3934703
126,1.3999841
127,1.2166052
128,1.4018744
129,1.2117512
130,1.4017651
131,1.2193644
132,1.4041265
133,1.6690974
134,1.2327557
135,1.4045507
136,1.2521199
137,1.4034694
138,1.2353017
139,1.4072725
140,1.2560372
141,1.4097748
142,2.1752162
143,2.3870933
144,2.0070443
145,2.2139916
146,1.2433847
147,1.3689219
148,1.2626303
149,1.3657575
150,1.2545618
151,1.392406
152,1.2655723
153,1.3890611
154,3.2132454
155,2.574266
156,3.2632844
157,2.7367823
158,2.419363
159,3.178729
160,2.5909493
161,1.2968736
162,1.3682139
163,1.3464869
164,1.3781036
165,1.288569
166,1.3880424
167,1.3266263
168,1.3906336
169,1.8480767
170,2.0502675
171,1.7067204
172,1.8925078
173,1.2678394
174,1.4048109
175,1.2782462
176,1.4073613
177,1.2723162
178,1.4142805
179,1.2888412
180,1.4181205
181,2.2548606
182,2.4487314
183,2.090334
184,2.2930994
185,1.2968475
186,1.41187
187,1.3234493
188,1.4117014
189,1.3100815
190,1.4242221
191,1.3327945
192,1.4335736
193,1.4303763
194,1.4074774
195,1.3906515
196,1.417313
197,1.4002333
198,1.4963408
199,1.4402874
200,1.5253708
201,1.4575204
202,1.4730375
203,1.4267399
204,1.4996296
205,1.4440188
206,1.555282
207,1.4849794
208,1.5877868
209,1.5125972
210,1.5286027
211,1.4610128
212,1.559017
213,1.4876032
214,1.4517052
215,1.4162952
216,1.4769962
217,1.4297956
218,1.4341502
219,1.4094077
220,1.45551
221,1.4190651
222,1.504155
223,1.4473532
224,1.5319945
225,1.4654303
226,1.4811258
227,1.4331154
228,1.5090854
229,1.4506279
230,1.3940616
231,1.3847626
232,1.4052852
233,1.392284
234,1.3880522
235,1.3807253
236,1.39804
237,1.3856779
238,1.3841738
239,1.3842875
240,1.3858912
241,1.3722298
242,1.3869115
243,1.3773099
244,1.3917899
245,1.3814318
246,1.3880453
247,1.3753569
248,1.3910217
249,1.4210638
250,1.4018869
251,1.4383923
252,1.4111886
253,1.40901
254,1.3941323
255,1.4251359
256,1.4036161
257,1.459668
258,1.4226155
259,1.4861596
260,1.437213
261,1.4429178
262,1.4132133
263,1.465807
264,1.4260952
265,1.4009246
266,1.387552
267,1.4123968
268,1.3948823
269,1.3952042
270,1.4021094
271,1.4290435
272,1.4050796
273,1.4481509
274,1.4136337
275,1.4323591
276,2.731108
277,2.0041173
278,2.698207
279,2.0926607
280,2.6112413
281,2.293551
282,2.6641653
283,2.1622102
284,2.6291926
285,2.2253368
286,3.34394
287,3.248713
288,3.2720377
289,3.1976607
290,3.198665
291,3.1534934
292,2.6324382
293,1.5912228
294,2.4585402
295,1.4334939
296,2.5558267
297,1.5100789
298,3.0813556
299,3.0297449
300,3.120903
301,3.1043375
302,3.0541275
303,2.7099135
304,1.6896868
305,2.7657933
306,1.8003625
307,2.642623
308,1.5964063
309,2.7182724
310,1.6970799
311,3.3182135
