x,y,z,Ni
243684.0,1717695.0,388.6,2.18
243684.0,1717695.0,385.6,2.18
243684.0,1717695.0,382.6,2.18
243684.0,1717695.0,379.6,2.133333
243684.0,1717695.0,376.6,2.04
243684.0,1717720.0,396.7,2.293333
243684.0,1717720.0,393.7,2.56
243684.0,1717745.0,394.3,2.48
243684.0,1717745.0,391.3,2.48
243684.0,1717745.0,388.3,2.48
243684.0,1717745.0,385.3,2.48
243684.0,1717745.0,382.3,2.48
243684.0,1717770.0,402.7,2.273333
243684.0,1717770.0,399.7,2.5
243684.0,1717770.0,396.7,2.5
243684.0,1717795.0,410.9,2.276667
243684.0,1717795.0,407.9,2.73
243684.0,1717795.0,404.9,2.73
243684.0,1717795.0,401.9,2.73
243684.0,1717795.0,398.9,2.73
243684.0,1717820.0,410.7,1.883333
243684.0,1717820.0,407.7,2.61
243684.0,1717820.0,404.7,2.61
243684.0,1717845.0,414.5,1.943333
243684.0,1717845.0,411.5,1.99
243684.0,1717845.0,408.5,1.99
243684.0,1717845.0,405.5,1.99
243684.0,1717845.0,402.5,1.99
243684.0,1717845.0,399.5,1.99
243684.0,1717870.0,413.1,1.95
243684.0,1717870.0,410.1,2.38
243684.0,1717870.0,407.1,2.38
243684.0,1717870.0,404.1,2.38
243684.0,1717870.0,401.1,2.38
243684.0,1717870.0,398.1,2.38
243684.0,1717920.0,409.3,1.78
243684.0,1717920.0,406.3,2.18
243684.0,1717920.0,403.3,2.18
243684.0,1717945.0,411.8,1.73
243684.0,1717945.0,408.8,2.01
243684.0,1717970.0,418.2,1.736667
243684.0,1717970.0,415.2,1.97
243684.0,1717970.0,412.2,1.97
243659.0,1717670.0,400,2.176667
243659.0,1717670.0,397,2.27
243659.0,1717670.0,394,2.27
243659.0,1717695.0,405.4,1.926667
243659.0,1717695.0,402.4,1.97
243659.0,1717695.0,399.4,1.97
243659.0,1717695.0,396.4,1.97
243659.0,1717695.0,393.4,1.97
243659.0,1717745.0,403.7,1.85
243659.0,1717745.0,400.7,1.95
243659.0,1717745.0,397.7,1.95
243659.0,1717745.0,394.7,1.95
243659.0,1717795.0,409.4,1.87
243659.0,1717795.0,406.4,1.83
243659.0,1717795.0,403.4,1.83
243659.0,1717795.0,400.4,1.83
243659.0,1717845.0,410.5,2.076667
243659.0,1717845.0,407.5,2.05
243659.0,1717845.0,404.5,2.05
243659.0,1717845.0,401.5,2.05
243659.0,1717845.0,398.5,2.05
243659.0,1717870.0,410.3,2.28
243659.0,1717870.0,407.3,2.196667
243659.0,1717870.0,404.3,2.03
243659.0,1717870.0,401.3,2.03
243659.0,1717870.0,398.3,2.03
243659.0,1717870.0,395.3,2.03
243659.0,1717895.0,411.3,2.16
243659.0,1717895.0,408.3,2.213333
243659.0,1717895.0,405.3,2.24
243659.0,1717895.0,402.3,2.24
243659.0,1717895.0,399.3,2.24
243659.3,1717945.0,414.7,1.95
243659.3,1717945.0,411.7,1.97
243659.3,1717945.0,408.7,1.97
243659.3,1717945.0,405.7,1.97
243634.0,1717645.0,394.6,1.956667
243634.0,1717645.0,391.6,2.37
243634.0,1717645.0,388.6,2.37
243634.0,1717645.0,385.6,2.37
243634.0,1717645.0,382.6,2.37
243634.0,1717645.0,379.6,2.37
243634.0,1717670.0,402.6,1.78
243634.0,1717670.0,399.6,2.106667
243634.0,1717670.0,396.6,2.27
243634.0,1717670.0,393.6,2.27
243634.0,1717670.0,390.6,2.27
243634.0,1717720.0,400.4,1.873333
243634.0,1717720.0,397.4,1.95
243634.0,1717720.0,394.4,1.95
243634.0,1717720.0,391.4,1.95
243634.0,1717745.0,405.5,1.96
243634.0,1717745.0,402.5,1.98
243634.0,1717745.0,399.5,1.98
243634.0,1717745.0,396.5,1.98
243634.0,1717745.0,393.5,1.98
243634.0,1717745.0,390.5,1.98
243634.0,1717745.0,387.5,1.98
243634.0,1717770.0,408.6,1.88
243634.0,1717770.0,405.6,2.08
243634.0,1717770.0,402.6,2.08
243634.0,1717795.0,408.3,2.063333
243634.0,1717795.0,405.3,1.95
243634.0,1717795.0,402.3,1.95
243634.0,1717820.0,409.8,2.21
243634.0,1717820.0,406.8,2.033333
243634.0,1717820.0,403.8,1.68
243634.0,1717820.0,400.8,1.68
243634.0,1717845.0,406.6,2.06
243634.0,1717845.0,403.6,2.6
243634.0,1717845.0,400.6,2.6
243634.0,1717895.0,411.6,1.703333
243634.0,1717895.0,408.6,1.83
243634.0,1717920.0,404.4,1.366667
243634.0,1717920.0,401.4,1.36
243634.0,1717920.0,398.4,1.36
243634.0,1717920.0,395.4,1.36
243634.0,1717945.0,406.9,1.913333
243634.0,1717945.0,403.9,1.48
243634.0,1717945.0,400.9,1.48
243634.0,1717945.0,397.9,1.48
243634.0,1717970.0,412,1.85
243634.0,1717970.0,409,1.93
243634.0,1717970.0,406,1.93
243634.0,1717970.0,403,1.93
243634.0,1717970.0,400,1.93
243609.0,1717620.0,388.4,1.75
243609.0,1717645.0,389.6,2.153333
243609.0,1717645.0,386.6,2.56
243609.0,1717645.0,383.6,2.56
243609.0,1717645.0,380.6,2.56
243609.0,1717695.0,407.8,2.99
243609.0,1717695.0,404.8,2.99
243609.0,1717695.0,401.8,2.99
243609.0,1717695.0,398.8,2.99
243609.0,1717695.0,395.8,2.99
243609.0,1717745.0,400.4,1.99
243609.0,1717745.0,397.4,2.43
243609.0,1717795.0,407.3,1.78
243609.3,1717832.0,416.6,2.14
243609.3,1717832.0,413.6,1.98
243609.0,1717845.0,415.5,1.83
243609.0,1717845.0,412.5,1.57
243609.0,1717895.0,414.6,1.61
243609.0,1717895.0,411.6,1.61
243609.0,1717895.0,408.6,1.61
243609.0,1717945.0,396.8,1.916667
243609.0,1717945.0,393.8,2.09
243609.0,1717945.0,390.8,2.09
243584.0,1717570.0,396,1.64
243584.0,1717570.0,393,1.64
243584.0,1717620.0,396.9,1.9
243584.0,1717620.0,393.9,2.306667
243584.0,1717620.0,390.9,2.51
243584.0,1717620.0,387.9,2.51
243584.0,1717620.0,384.9,2.51
243584.0,1717645.0,394.7,2.093333
243584.0,1717645.0,391.7,2.12
243584.0,1717670.0,394.8,1.98
243584.0,1717670.0,391.8,2.033334
243584.0,1717670.0,388.8,2.14
243584.0,1717670.0,385.8,2.14
243584.0,1717695.0,409.9,1.77
243584.0,1717695.0,406.9,2.49
243584.0,1717695.0,403.9,2.49
243584.0,1717695.0,400.9,2.49
243584.0,1717695.0,397.9,2.49
243584.0,1717695.0,394.9,2.49
243584.0,1717720.0,400.8,1.983333
243584.0,1717720.0,397.8,2.24
243584.0,1717745.0,403.5,2.1
243584.0,1717745.0,400.5,1.96
243584.0,1717770.0,408.2,2.291667
243584.0,1717770.0,405.2,2.34
243584.0,1717770.0,402.2,2.34
243584.0,1717795.0,414.2,1.75
243584.0,1717795.0,411.2,1.79
243584.0,1717795.0,408.2,1.79
243584.0,1717795.0,405.2,1.79
243584.0,1717795.0,402.2,1.79
243584.0,1717795.0,399.2,1.79
243584.0,1717820.0,414.3,2.21
243584.0,1717820.0,411.3,2.41
243584.0,1717845.0,413.9,1.753333
243584.0,1717845.0,410.9,1.66
243584.0,1717870.0,405.9,1.82
243584.0,1717870.0,402.9,1.82
243584.0,1717895.0,411.1,1.713333
243584.0,1717895.0,408.1,1.76
243584.0,1717895.0,405.1,1.76
243584.0,1717920.0,407.7,2.176666
243584.0,1717920.0,404.7,2.52
243584.0,1717920.0,401.7,2.52
243584.0,1717970.0,408.5,1.68
243584.0,1717970.0,405.5,1.68
243584.0,1717970.0,402.5,1.513333
243559.0,1717595.0,395.4,1.8
243559.0,1717595.0,392.4,2.1
243559.0,1717645.0,384,1.56
243559.0,1717670.0,395.3,2.133333
243559.0,1717670.0,392.3,2.41
243559.0,1717670.0,389.3,2.41
243559.0,1717670.0,386.3,2.41
243559.0,1717670.0,383.3,2.41
243559.0,1717670.0,380.3,2.41
243559.0,1717695.0,406.2,2.053333
243559.0,1717695.0,403.2,2.2
243559.0,1717695.0,400.2,2.2
243559.0,1717745.0,411,1.573333
243559.0,1717745.0,408,1.52
243559.0,1717745.0,403,1.71
243559.0,1717745.0,400,1.71
243559.0,1717795.0,412.9,1.806667
243559.0,1717795.0,409.9,1.88
243559.0,1717870.0,416.2,1.816667
243559.0,1717870.0,413.2,2.07
243559.0,1717870.0,410.2,2.07
243559.0,1717870.0,407.2,2.07
